dev,iast,roman,count,top_sources,gotra_context
सुइरी,suirī,suiri,188,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, Final_1-65.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Vasiṣṭha, Kṛṣṇātreya"
वासी समौली पाली,vāsī smaulī pālī,vasi smauli pali,184,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
ओइनि,oini,oini,182,"punji-03-Diwali2014.doc, punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, Final_348-690.doc, Final_66-347.doc","Kapila, Vatsa, Kṛṣṇātreya, Kauśika, Śāṇḍilya"
Not in source,Not in source,not in source,178,"mool-gotra-moolgram(1).xlsx, data tables 1-20(1).xlsx, 21 onwards data table prachin uptip(1).xlsx, Panji_Prabandha_Addendum_Merged.xlsx","Not in source, Vatsa, Bahirwad Parhat Mool, Savarna, Garg"
झंझारपुर,jhṃjhārpur,jhmjharpur,176,"Vol-3Final03-d(1).doc, Final_66-347.doc, punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, Final_1-65.doc","Vatsa, Kapila, Śāṇḍilya, Kāśyapa"
वासी नरसाम बलियास,vāsī nrsām bliyās,vasi nrsam bliyas,174,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी भडगाम जजिवाल,vāsī bhḍgām jjivāl,vasi bhdgam jjival,170,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
भण्डारिसम,bhṇḍārism,bhndarism,166,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, Final_1-65.doc, punji-02-Diwali2014.doc, punji-05-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Kāśyapa, Kṛṣṇātreya"
दौ रतौली दरिहरा,dau rtaulī drihrā,dau rtauli drihra,162,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Vasiṣṭha"
सकौना,skaunā,skauna,162,"Final_348-690.doc, punji-07-Diwali2014.doc, Final_66-347.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Vatsa, Kṛṣṇātreya, Vasiṣṭha, Śāṇḍilya"
वासी जगति पवौली,vāsī jgti pvaulī,vasi jgti pvauli,156,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vasiṣṭha"
पण्डोली,pṇḍolī,pndoli,154,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kāśyapa"
वासी आहिल हरिअम,vāsī āhil hriam,vasi ahil hriam,152,"punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kāśyapa, Kauśika"
डबला,ḍblā,dbla,150,"Vol-3Final03-a(1).doc, Vol-3Final03-b(1).doc, Vol-3Final03-c(1).doc, Vol-3Final03-e(1).doc, Vol-3Final03-d(1).doc",
रतौली दरिहरा,rtaulī drihrā,rtauli drihra,150,"punji-02-Diwali2014.doc, punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, Final_66-347.doc","Vatsa, Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika"
वासी कुरमा खौआल,vāsī kurmā khauāl,vasi kurma khaual,150,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kāśyapa"
वासी ततैल सकराढी,vāsī ttail skrāḍhī,vasi ttail skradhi,150,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Vasiṣṭha"
दौ नेयाम कुजौली,dau neyām kujaulī,dau neyam kujauli,148,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
वासी छादन सरिसव,vāsī chādn srisv,vasi chadn srisv,148,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Kāśyapa"
नरौन,nraun,nraun,144,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-08-Diwali2014.doc, punji-05-Diwali2014.doc, Final_66-347.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
वासी कनसम माण्डर,vāsī knsm māṇḍr,vasi knsm mandr,142,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kāśyapa"
सिंहाश्रम,siṃhāśrm,simhasrm,142,"punji-07-Diwali2014.doc, Final_1-65.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
दौ सिमरवाड खौआल,dau simrvāḍ khauāl,dau simrvad khaual,140,"punji-04-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
दौ खांगुड सरिसव,dau khāṃguḍ srisv,dau khamgud srisv,136,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
दौ महिषी बुधवाल,dau mhiṣī budhvāl,dau mhisi budhval,134,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Vasiṣṭha"
दौ बढियाम पवौली,dau bḍhiyām pvaulī,dau bdhiyam pvauli,132,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
वासी भौर खण्डवला,vāsī bhaur khṇḍvlā,vasi bhaur khndvla,130,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
वासी रैयाम सोदरपुर,vāsī raiyām sodrpur,vasi raiyam sodrpur,130,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
ओइनी,oinī,oini,126,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Kauśika, Vasiṣṭha, Śāṇḍilya, Vatsa"
दौ हाटी सोदरपुर,dau hāṭī sodrpur,dau hati sodrpur,124,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Vasiṣṭha, Kṛṣṇātreya"
वासी मलंगिया कटाई,vāsī mlṃgiyā kṭāī,vasi mlmgiya ktai,124,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha, Vatsa"
वासी महिषी पाली,vāsī mhiṣī pālī,vasi mhisi pali,124,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
दौ नगवाड घोसोत,dau ngvāḍ ghosot,dau ngvad ghosot,122,"punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha"
दौ रखवारी हरिअम,dau rkhvārī hriam,dau rkhvari hriam,122,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Vasiṣṭha, Kṛṣṇātreya"
पकलिया,pkliyā,pkliya,122,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, Final_1-65.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kṛṣṇātreya, Kauśika"
वासी डीहा माण्डर,vāsī ḍīhā māṇḍr,vasi diha mandr,122,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Vasiṣṭha"
वासी सन्दहपुर दिघो,vāsī sndhpur digho,vasi sndhpur digho,122,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Parāśara"
अल्लारि,allāri,allari,120,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, Final_348-690.doc, punji-04-Diwali2014.doc","Vatsa, Kapila, Kauśika, Taṇḍī, Śāṇḍilya"
वेलउँच,velum̐c,velumc,120,"Vol-3Final03-a(1).doc, Vol-3Final03-c(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-b(1).doc, Final_348-690.doc",Vatsa
वासी सिहौली माण्डर,vāsī sihaulī māṇḍr,vasi sihauli mandr,118,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी अन्हरा कटाई,vāsī anhrā kṭāī,vasi anhra ktai,116,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Vasiṣṭha"
वासी भानुपुर पनिचोभ,vāsī bhānupur pnicobh,vasi bhanupur pnicobh,116,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी महिन्द्रपुर पण्डुआ,vāsī mhindrpur pṇḍuā,vasi mhindrpur pndua,114,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kṛṣṇātreya, Kauśika"
वहेराढ़ी,vherāḍh़ī,vheradh i,112,"Vol-3Final03-a(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc, Vol-3Final03-e(1).doc, Vol-3Final03-b(1).doc",Vatsa
वासी कटैया माण्डर,vāsī kṭaiyā māṇḍr,vasi ktaiya mandr,112,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Kāśyapa"
वासी हाटी पाली,vāsī hāṭī pālī,vasi hati pali,112,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-01-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vatsa"
दौ काको बेलउँच,dau kāko belum̐c,dau kako belumc,110,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-01-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Vasiṣṭha"
दौ बडगाम दरिहरा,dau bḍgām drihrā,dau bdgam drihra,110,"punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc, punji-07-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
दौ मलंगिया कुजौली,dau mlṃgiyā kujaulī,dau mlmgiya kujauli,110,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Vasiṣṭha"
दौ ओडा एकहरा,dau oḍā ekhrā,dau oda ekhra,108,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc, punji-06-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
राँटी,rām̐ṭī,ramti,108,"Vol-3Final03-c(1).doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, Vol-3Final03-a(1).doc, punji-01-Diwali2014.doc","Kapila, Kṛṣṇātreya, Kauśika, Śāṇḍilya"
वासी झौवा पनिचोभ,vāsī jhauvā pnicobh,vasi jhauva pnicobh,108,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी मताओन दरिहरा,vāsī mtāon drihrā,vasi mtaon drihra,108,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Kauśika, Śāṇḍilya, Kṛṣṇātreya, Vatsa"
वासी संग्राम एकहरा,vāsī sṃgrām ekhrā,vasi smgram ekhra,108,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kṛṣṇātreya"
दौ सरिसव सोदरपुर,dau srisv sodrpur,dau srisv sodrpur,106,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Vasiṣṭha, Kauśika"
दौ तरौनी करमहा,dau traunī krmhā,dau trauni krmha,104,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Vasiṣṭha"
वासी सुदय बेलउँच,vāsī sudy belum̐c,vasi sudy belumc,104,"punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Kauśika, Śāṇḍilya, Kṛṣṇātreya, Kāśyapa"
वासी महिया सोदरपुर,vāsī mhiyā sodrpur,vasi mhiya sodrpur,102,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kāśyapa, Vatsa"
वासी परहट सकराढी,vāsī prhṭ skrāḍhī,vasi prht skradhi,100,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kāśyapa, Kauśika"
वासी शिवा हरिअम,vāsī śivā hriam,vasi siva hriam,100,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
वासी उसरौली अलय,vāsī usraulī aly,vasi usrauli aly,98,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Kauśika, Śāṇḍilya, Kṛṣṇātreya, Vatsa"
वासी डीह दरिहरा,vāsī ḍīh drihrā,vasi dih drihra,98,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kṛṣṇātreya"
कोदरिया,kodriyā,kodriya,96,"Vol-3Final03-e(1).doc, Vol-3Final03-d(1).doc, punji-05-Diwali2014.doc, Vol-3Final03-a(1).doc, Final_348-690.doc","Vatsa, Kṛṣṇātreya, Vasiṣṭha"
दौ बेहट खण्डवला,dau behṭ khṇḍvlā,dau beht khndvla,96,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kṛṣṇātreya"
दौ रजौरा माण्डर,dau rjaurā māṇḍr,dau rjaura mandr,96,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी अन्दोली जालय,vāsī andolī jāly,vasi andoli jaly,94,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc, punji-03-Diwali2014.doc","Kauśika, Kapila, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha"
वासी गढ बेलउँच,vāsī gḍh belum̐c,vasi gdh belumc,94,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Vasiṣṭha"
दौ,dau,dau,92,"Final_348-690.doc, Final_1-65.doc, punji-03-Diwali2014.doc, Vol-3Final03-a(1).doc, Vol-3Final03-e(1).doc","Vatsa, Kapila, Kauśika"
नेयाम कुजौली,neyām kujaulī,neyam kujauli,92,"punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc","Śāṇḍilya, Kapila, Vatsa, Kṛṣṇātreya, Kauśika"
वासी नडुआर करमहा,vāsī nḍuār krmhā,vasi nduar krmha,90,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kāśyapa, Kṛṣṇātreya, Vatsa"
वासी बलिराजपुर हरिअम,vāsī blirājpur hriam,vasi blirajpur hriam,90,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kāśyapa, Śāṇḍilya, Kapila, Vatsa, Kṛṣṇātreya"
यमुगाम,ymugām,ymugam,88,"Final_1-65.doc, punji-05-Diwali2014.doc, Final_66-347.doc, punji-06-Diwali2014.doc, Final_348-690.doc","Vatsa, Śāṇḍilya, Kapila"
राजनपुरा दरिहरा,rājnpurā drihrā,rajnpura drihra,86,"punji-03-Diwali2014.doc, punji-07-Diwali2014.doc, punji-02-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha"
वासी देशुआल खण्डवला,vāsī deśuāl khṇḍvlā,vasi desual khndvla,86,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Kauśika, Śāṇḍilya, Vatsa, Kṛṣṇātreya"
वासी सकुरी गंगोली,vāsī skurī gṃgolī,vasi skuri gmgoli,86,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika"
हाटी सोदरपुर,hāṭī sodrpur,hati sodrpur,86,"punji-02-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
दौ नरसाम बलियास,dau nrsām bliyās,dau nrsam bliyas,84,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Kauśika, Vatsa, Kṛṣṇātreya, Śāṇḍilya"
पण्डुलवार,pṇḍulvār,pndulvar,82,punji-07-Diwali2014.doc,Kapila
वासी ओझोली बेलउँच,vāsī ojholī belum̐c,vasi ojholi belumc,82,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Vasiṣṭha, Kṛṣṇātreya, Vatsa"
तरौनी करमहा,traunī krmhā,trauni krmha,80,"Final_66-347.doc, Final_348-690.doc, punji-02-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc","Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kapila"
दौ मझौरा करमहा,dau mjhaurā krmhā,dau mjhaura krmha,80,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
महिषी बुधवाल,mhiṣī budhvāl,mhisi budhval,80,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-02-Diwali2014.doc, punji-04-Diwali2014.doc, Final_1-65.doc","Vatsa, Kapila, Kṛṣṇātreya, Śāṇḍilya, Kāśyapa"
वासी बेलसाम बुधवाल,vāsī belsām budhvāl,vasi belsam budhval,80,"punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kauśika, Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya"
वासी राढी पाली,vāsī rāḍhī pālī,vasi radhi pali,80,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc","Śāṇḍilya, Kapila, Kṛṣṇātreya, Vasiṣṭha, Vatsa"
वासी लोआम सुरगन,vāsī loām surgn,vasi loam surgn,80,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kāśyapa"
दौ मंगरौनी पाली,dau mṃgraunī pālī,dau mmgrauni pali,78,"punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
